Codigo;Descriooo do CID;Cidade;Localidade;Quant.;%
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;JUSCELINO KUBITSCHEK CARAMELO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;KM3;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;LIDIA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;LOTEAMENTO CIPRIANO DA ROCHA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MARINGA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MEDIANEIRA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;MINUANO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DA CONCEIAAO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA DO ROSARIO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;NOSSA SENHORA FATIMA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;OLIVEIRA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PAQUE PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIRO MAC;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIROMACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE  PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARQUE PINHEIRO  MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PARUQE PINHEIRO MACHADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PASSOA DAS TROPAS;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PATRONATO NATAL;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;POR DO SOL NOVA SANTA MARTA;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PRADO;1;0,29 %
A90;DENGUE [DENGUE CLoSSICO];SANTA MARIA;PRESIDENTE JOAO GOULART;1;0,29 %
Filtros:;"Data Inicial: 01/07/2023 Data Final: 24/07/2023
Cidade: SANTA MARIA - RIO GRANDE DO SUL - BRASIL
CID: DENGUE [DENGUE CLoSSICO]
";;;;
;;;;;
